,금융회사,상품명,적립방식,세전이자율,최고우대금리,가입대상,이자계산방식,우대조건,가입방법,만기후이자율,기타유의사항,개월수,상품종류
390,전북은행,JB 다이렉트적금(자유적립식),자유적립식,3.35%,3.45%,실명의 개인 및 개인사업자(임의단체 제외),단리,추가우대금리 : 당행 계좌간 자동이체를 통해 이 예금으로 자동이체 된 금액에 0.1% 금리 우대,"인터넷,스마트폰",√만기후 1개월이내 경과분 : 만기일 현재 계약기간별 정기적금(자유적립식) 실행이율의 1/2√만기후 1개월초과 경과분 : 연 0.1%,"1. 초회불입금 1만원이상, 1인당 월별 최고 1천만원이내2. 만기직전 1개월간 적립합계는 이전기간 적립금액을 초과할 수 없음3. 인터넷뱅킹/스마트폰뱅킹 가입상품",12,적금
391,부산은행,저탄소 실천 적금,자유적립식,3.00%,3.40%,제한없음,단리,조건 달성여부에 따라 우대금리 적용 *개인형 우대이율: 최대0.4% *기업형(개인사업자 및 법인)우대이율: 최대0.4%,"영업점,인터넷,스마트폰",- 만기후 1년이내:가입기간별 일반정기적금 기본이율 x 50%- 만기후 1년초과:가입기간별 일반정기적금 기본이율 x 20%,1. 가입한도: 월 1만원 이상 1천만원 이하 원단위 (월 1천만원 이하 불입 가능)2. 자유적립식,12,적금
392,국민은행,KB맑은하늘적금,자유적립식,2.55%,3.35%,실명의 개인,단리,"맑은하늘을 위한 미션별 제공조건을 달성하는 경우 각 미션별 우대이율 제공 -1년제 최고 연0.8%p, 2년제 최고 연 0.9%p, 3년제 최고 연 1.0%p ①종이통장 줄이기 미션: 연 0.1%p ②종이서식 줄이기 미션: 연 0.2%p ③대중교통 미션: 1년제 연 0.4%p, 2년제 연 0.5%p, 3년제 연 0.6%p ④퀴즈미션: 연 0.1%p","영업점,인터넷,스마트폰",- 1개월 이내 : 기본이율 X 50%- 1개월 초과 ~ 3개월 이내 : 기본이율 X 30%- 3개월 초과 : 0.1%,공동명의 불가(1인 최대 3계좌),12,적금
393,한국스탠다드차타드은행,퍼스트가계적금,자유적립식,3.35%,3.35%,개인(개인사업자 포함),단리,없음,"영업점,인터넷,스마트폰",만기 후 1개월: 약정이율의 50%만기 후 1개월 초과 1년 이내: 약정이율의 30%만기 후 1년 초과: 약정이율의 10%,해당없음,12,적금
394,하나은행,내맘적금,정액적립식,2.75%,3.25%,실명의 개인또는 개인사업자(1인 다계좌 가능),단리,하나은행 통장에서 계약기간의 1/2이상 월부금 자동이체실적 충족 시 연 0.50%,"영업점,인터넷,스마트폰,전화(텔레뱅킹)",1개월 이내 : 지급당시 해당기간별 일반정기적금 기본금리 1/21개월 초과 : 지급당시 해당기간별 일반정기적금 기본금리 1/4,"1. 1인 다계좌 가능2. 가입금액 - 1천원 이상~1,000만원 이하(원단위)3. 적립한도 - 자유적립식 : 매월 1원 이상~1,000만원 이하(원단위) - 정액적립식 : 매월 1천원 이상~1,000만원 이하(원단위)",12,적금
395,부산은행,BNK내맘대로 적금,자유적립식,3.00%,3.20%,제한없음,단리,*우대이율 최대 0.2% - 신규시 우대이율 0.05% 및 해지시 우대이율 최대 0.15%,"영업점,인터넷,스마트폰",- 만기후 1년이내:가입기간별 일반정기적금 기본이율 x 50%- 만기후 1년초과:가입기간별 일반정기적금 기본이율 x 20%,1. 가입금액 : 1천원 이상2. 가입기간 : 6개월 이상 60개월 이하(일단위),12,적금
396,하나은행,내맘적금,자유적립식,2.70%,3.20%,실명의 개인또는 개인사업자(1인 다계좌 가능),단리,하나은행 통장에서 계약기간의 1/2이상 월부금 자동이체실적 충족 시 연 0.50%,"영업점,인터넷,스마트폰,전화(텔레뱅킹)",1개월 이내 : 지급당시 해당기간별 일반정기적금 기본금리 1/21개월 초과 : 지급당시 해당기간별 일반정기적금 기본금리 1/4,"1. 1인 다계좌 가능2. 가입금액 - 1천원 이상~1,000만원 이하(원단위)3. 적립한도 - 자유적립식 : 매월 1원 이상~1,000만원 이하(원단위) - 정액적립식 : 매월 1천원 이상~1,000만원 이하(원단위)",12,적금
397,한국산업은행,KDB 자유적금,자유적립식,3.06%,3.06%,"개인, 개인사업자, 임의단체",단리,해당없음,"영업점,인터넷,스마트폰",* 만기후 1년 이내 : 만기일 현재 고시된 일반 정기적금 해당예금기간 기본이율의 1/2* 만기후 1년 초과 : 만기일 현재 고시된 보통예금 이율,해당없음,12,적금
398,수협은행,Sh월복리자유적금,자유적립식,2.20%,2.90%,실명의 개인 및 개인사업자,복리,*최대우대금리:0.7% -첫거래고객:0.3% -카드거래:최대0.3% -복수거래:0.1% -요구불거래:최대0.2% -인터넷뱅킹고객:0.1% -자동이체실적:0.1% ※단위:연%p,"영업점,인터넷,스마트폰",* 만기후 1년 이내 - 만기당시 상호부금계약기간별 기본금리 1/2* 만기후 1년 초과 - 만기당시 보통예금 기본금리,- 1인 1계좌- 월 가입한도 : 100만원,12,적금
399,한국산업은행,KDB 기업정기적금,정액적립식,2.46%,2.46%,"개인사업자, 조합(비영리법인 포함), 법인",단리,해당없음,"영업점,인터넷",* 만기후 1년 이내 : 만기일 현재 고시된 일반 정기적금 해당예금기간 기본이율의 1/2* 만기후 1년 초과 : 만기일 현재 고시된 보통예금 이율,해당없음,12,적금
400,웰컴저축은행,정기적금,자유적립식,2.00%,14.00%,제한없음,단리,① 롯데카드 결제계좌를 당행 입출금통장으로 지정 및 납부실적 3개월 이상 (연 2.0%p) 롯데카드 우대조건 ② LOCA LIKIT 카드 누적 이용실적 50만원 이상 (연 7.0%p) ③ LOCA LIKIT 카드 자동이체 납부 실적 3개월 이상 (연 3.0%p),스마트폰,"*만기 후 1개월 이하 : 이 예금의 가입 당시 약정금리나 만기시점의 동일 상품, 동일 계약기간(없을시, 가입 당시 약정금리) 신규약정금리 중 낮은 금리를 적용*만기 후 1개월 초과 : 가입 당시 영업점 및 인터넷 홈페이지에 고시된 만기 후 1개월 초과 시 금리","*실적인정기간 : 적금 가입월부터 만기일의 전전월 말일*단, 실적인정기간 동안 대상 카드(LOCA LIKIT) 교체/해지/탈회 시 우대금리 미적용 (월 최대 불입액 : 30만원)",12,적금
401,웰컴저축은행,정기적금,정액적립식,1.00%,10.00%,제한없음,단리,① 연간 걸음수 달성여부에 따른 우대금리 지급 -1백만보 이상 1.0%p -2백만보 이상 2.0%p -3백만보 이상 3.0%p -4백만보 이상 8.0%p ②6회 이상 당행 입출금 통장을 통한 자동이체로 적금 납입 시 연 1.0%p,스마트폰,"- 만기 후 1개월 이하 : 이 예금의 가입 당시 약정금리나 만기시점의 동일 상품, 동일 계약기간의 신규약정금리 중 낮은 금리를 적용- 만기시점의 동일 상품, 동일 계약기간이 없을 경우 가입 당시의 약정금리를 적용- 만기 후 1개월 초과 : 연 0.1%",※ 월 최대 불입액 : 20만원,12,적금
402,웰컴저축은행,정기적금,정액적립식,3.70%,7.00%,최초 개설한 예·적금(입출금이 자유로운 예금 포함) 가입일로부터 30일 內 가입,단리,① 8회 이상 당행 입출금통장 통한 자동이체로 납입 시 연 1.8%p ② 적금 신규일부터 계약상 만기일 전일까지의 입출금통장 평잔 50만원 이상 시 연 1.5%p,인터넷,"*만기 후 1개월 이하 : 이 예금의 가입 당시 약정금리나 만기시점의 동일 상품, 동일 계약기간의 신규약정금리 중 낮은 금리를 적용*만기 후 1개월 초과 : 연 0.1%※ 만기시점의 동일 상품, 동일 계약기간이 없을 경우 가입 당시의 약정금리를 적용",본 상품은 최초 개설한 예·적금 가입일로부터 30일 이내 가입 가능합니다. (30일 경과시 가입 불가),12,적금
403,웰컴저축은행,정기적금,정액적립식,3.70%,7.00%,최초 개설한 예·적금(입출금이 자유로운 예금 포함) 가입일로부터 30일 內 가입,단리,① 8회 이상 당행 입출금통장 통한 자동이체로 납입 시 연 1.8%p ② 적금 신규일부터 계약상 만기일 전일까지의 입출금통장 평잔 50만원 이상 시 연 1.5%p,스마트폰,"*만기 후 1개월 이하 : 이 예금의 가입 당시 약정금리나 만기시점의 동일 상품, 동일 계약기간의 신규약정금리 중 낮은 금리를 적용*만기 후 1개월 초과 : 연 0.1%※ 만기시점의 동일 상품, 동일 계약기간이 없을 경우 가입 당시의 약정금리를 적용",본 상품은 최초 개설한 예·적금 가입일로부터 30일 이내 가입 가능합니다. (30일 경과시 가입 불가),12,적금
404,디비저축은행,M-With 유 정기적금(모바일),정액적립식,4.00%,6.50%,실명의 개인,단리,약정이율 최대 6.5% =기본4.0% + 우대2.5%(최대) 우대조건 1) 가입일기준 당행 예적금가입이력 없는 첫거래고객 또는 동일상품 한달이내 만기해지이력 존재고객 (+1.0%) 2) 만 19세 이상 만 39세 이하 고객 (+0.5%) 3) 계약기간중 앱이용 입출금거래 월2회이상 6개월이상 유지한 고객 (+0.5%) 4) 상품서비스안내 및 마케팅 전체 동의 고객 (+0.5%),스마트폰,1개월 이하: 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율1개월 초과: 0.1%,"가입금액: 1만원 이상 30만원이하까지 / 가입채널: 스마트뱅킹, SB톡톡+",12,적금
405,디비저축은행,M-With 유 정기적금(모바일),정액적립식,4.00%,6.50%,실명의 개인,복리,약정이율 최대 6.5% =기본4.0% + 우대2.5%(최대) 우대조건 1) 가입일기준 당행 예적금가입이력 없는 첫거래고객 또는 동일상품 한달이내 만기해지이력 존재고객 (+1.0%) 2) 만 19세 이상 만 39세 이하 고객 (+0.5%) 3) 계약기간중 앱이용 입출금거래 월2회이상 6개월이상 유지한 고객 (+0.5%) 4) 상품서비스안내 및 마케팅 전체 동의 고객 (+0.5%),스마트폰,1개월 이하: 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율1개월 초과: 0.1%,"가입금액: 1만원 이상 30만원이하까지 / 가입채널: 스마트뱅킹, SB톡톡+",12,적금
406,웰컴저축은행,웰컴 페이적금,정액적립식,1.00%,6.50%,제한없음,단리,1) 계약기간의 2/3회 이상 웰컴 입출금통장을 통한 자동이체로 납입 : 2.0%p 2) 웰컴 입출금통장을 연결하여 거래한 간편결제 또는 체크카드 월평균 이용 실적 - 10만원 이상 30만원 미만 : 1.5%p - 30만원 이상 50만원 미만 : 2.0%p - 50만원 이상 : 3.5%p,"영업점,인터넷,스마트폰","*만기 후 1개월 이하 : 이 예금의 가입 당시 약정금리나 만기시점의 동일 상품, 동일 계약기간의 신규약정금리 중 낮은 금리를 적용*만기 후 1개월 초과 : 연 0.1%※ 만기시점의 동일 상품, 동일 계약기간이 없을 경우 가입 당시의 약정금리를 적용","1인당 가입한도 월 30만원 (1인 1계좌, WELCOME 체크플러스2 정기적금 보유자 가입 불가)",12,적금
407,하나저축은행,정기적금,정액적립식,3.90%,6.30%,제한없음,단리,"* 최고우대금리 : 2.4% - 인터넷/스마트뱅킹/모바일브랜치/SB톡톡(비대면)가입시 : 0.1% 사회적배려대상 고객가입시 (영업점 가입,1인 1계좌(활동좌),월 불입금 50만원 까지) :2.4% ※ 단위는 연%p","영업점,인터넷,스마트폰",-1개월 이내 :가입 당시 약정금리-1개월 초과 : 현행 고시 보통예금 금리,1..최저 가입금액 : 1만원이상2. 중도해지금리-1개월미만 : 보통예금 금리 -1개월이상 : 약정금리 * (경과월수 / 계약월수)*차등율-1개월이상~12개월미만(차등율:60%)-12개월이상~24개월미만(차등율:70%)-24개월 이상(차등율 80%),12,적금
408,하나저축은행,정기적금,정액적립식,3.90%,6.30%,제한없음,복리,"* 최고우대금리 : 2.4% - 인터넷/스마트뱅킹/모바일브랜치/SB톡톡(비대면)가입시 : 0.1% 사회적배려대상 고객가입시 (영업점 가입,1인 1계좌(활동좌),월 불입금 50만원 까지) :2.4% ※ 단위는 연%p","영업점,인터넷,스마트폰",-1개월 이내 :가입 당시 약정금리-1개월 초과 : 현행 고시 보통예금 금리,1..최저 가입금액 : 1만원이상2. 중도해지금리-1개월미만 : 보통예금 금리 -1개월이상 : 약정금리 * (경과월수 / 계약월수)*차등율-1개월이상~12개월미만(차등율:60%)-12개월이상~24개월미만(차등율:70%)-24개월 이상(차등율 80%),12,적금
409,한화저축은행,정기적금,정액적립식,2.90%,6.30%,적금가입 후 캐롯손해보험 자동차보험 가입 필수,단리,적금가입 후 캐롯손해보험 자동차보험 가입 필수,"인터넷,스마트폰",- 만기 후 1개월 이하: 만기일 현재 금리 적용- 만기 후 1개월 초과: 보통예금 이율,없음,12,적금
410,웰컴저축은행,정기적금,정액적립식,2.00%,6.00%,- 만 19세 이상 실명의 개인,단리,"- 최초 개설한 예·적금 가입일로부터 30일 이내 본 적금 가입 시 : 연 1.0%p - 적금 가입 시점 예금주 신용평점에 따라 우대 : 최대 연 3.0%p ▶ 신용평점 850점 이하 ~ 650점 초과(연 1.0%p), 신용평점 650점 이하 ~ 350점 초과 (연 2.0%p), 신용평점 350점 이하 ~ 1점 이상(연 3.0%p)","인터넷,스마트폰","- 만기 후 1개월 이하 : 이 예금의 가입 당시 약정금리나 만기시점의 동일 상품, 동일 계약기간의 신규약정금리 중 낮은 금리를 적용하며, 만기시점의 동일 상품, 동일 계약기간이 없을 경우 가입 당시의 약정금리를 적용- 만기 후 1개월 초과 : 연 0.1%","※ 신용평점별 우대금리 적용을 위해 적금 가입 시 개인(신용)정보 조회 동의가 필요하며, 미동의 시 신용평점별 우대금리 적용이 불가합니다. ※ 적금 가입 시점 NICE평가정보를 통해 조회된 신용평점을 기준으로 우대이율이 확정됩니다. ※ 월 최대 불입액 : 30만원",12,적금
411,웰컴저축은행,정기적금,정액적립식,2.00%,5.50%,제한없음,단리,① 웰컴 입출금통장에서 CMS/지로 자동납부 월 2건 이상 실적이 6개월 이상 시 연 2.0%p ② 웰컴 입출금통장 평잔 실적이 50만원 이상 시 연 1.5%p,"영업점,인터넷,스마트폰","*만기 후 1개월 이하 : 이 예금의 가입 당시 약정금리나 만기시점의 동일 상품, 동일 계약기간의 신규약정금리 중 낮은 금리를 적용 *만기 후 1개월 초과 : 연 0.1% ※ 만기시점의 동일 상품, 동일 계약기간이 없을 경우 가입 당시의 약정금리를 적용",1인당 가입한도 월 20만원 (1인 1계좌),12,적금
412,세람저축은행,착한운전정기적금,정액적립식,4.00%,5.00%,제한없음,단리,"조건에 따른 우대금리[최저0.5%~최고1.0%] -착한운전마일리지 신청자, 저공해차량 운전자, 전기차운전자, 수소차운전자, 장애인차량운전자",영업점,1개월내 : 약정금리와 해당 계약기간의 현행금리 중 낮은 금리 1개월 초과: 보통예금 금리,없음,12,적금
413,세람저축은행,행복나눔정기적금,정액적립식,4.00%,5.00%,제한없음,단리,"조건에 따른 우대금리[최저0.5%~최고1.0%] -자원봉사자, 헌혈자",영업점,1개월내 : 약정금리와 해당 계약기간의 현행금리 중 낮은 금리 1개월 초과: 보통예금 금리,없음,12,적금
414,신한저축은행,청포도 청년적금,정액적립식,4.00%,5.00%,19~39세,단리,①개인(신용)정보 수집?이용 동의[상품서비스안내 등] 상품서비스 안내 수단 전체 동의시 0.1 % 우대금리 제공 ②계약기간 총 월불입금 횟수의 1/2이상을 당사 입출금계좌에서 이체하여 불입하는 경우 0.3% 우대금리 제공 ③가입 후 만기해지시까지 통장 미발행시(ESG) 0.6% 우대금리 제공,"인터넷,스마트폰",- 1개월 이내 : 약정금리 - 1개월 초과 : 보통예금금리,"①번 우대이율은 가입시점에 지급 ②③번 우대이율은 만기해지시점에 지급/가입일로부터 만기일까지의 기간에 대해 적용되며 중도해지시에는 지급하지 않음 * 우대이율은 약정금리에 반영되어 중도해지이율, 만기후이율 산정시 포함되며, 만기앞당김해지시에도 포함",12,적금
415,애큐온저축은행,다모아자유적금2,자유적립식,2.50%,5.00%,제한없음,단리,가입일 ~ 만기일까지 마케팅 동의 유지 : 1.0% 만기시까지 당행 오픈뱅킹 잔액모으기를 통한 해당 적금불입횟수 10회이상 : 1.5%,스마트폰,만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용),가입금액 1천원~20만원1인1계좌오픈뱅킹전용가입상품,12,적금
416,애큐온저축은행,다모아자유적금2,자유적립식,2.50%,5.00%,제한없음,복리,가입일 ~ 만기일까지 마케팅 동의 유지 : 1.0% 만기시까지 당행 오픈뱅킹 잔액모으기를 통한 해당 적금불입횟수 10회이상 : 1.5%,스마트폰,만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용),가입금액 1천원~20만원1인1계좌오픈뱅킹전용가입상품,12,적금
417,오투저축은행,정기적금,정액적립식,5.00%,5.00%,제한없음,복리,- 신규계약(1인1계좌) - 영업점 가입가능 - 1만원~30만원까지,영업점,"-1개월이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은 이율-1개월 초과: 보통예금 이율[코로나19관련대책 - 창구가입상품한 : 한시적으로 만기후 1개월간 해당 예금의 동일계약기간 신규약정금리 적용, 이후 보통예금이율]",중도해지이율-1개월 미만: 보통예금이율-1개월 이상~3개월 미만: 계약일의 계약기간별 약정이율의 50%-3개월 이상~12개월 미만: 계약일의 계약기간별 약정이율의 60%-12개월 이상: 계약일의 계약기간별 약정이율의 70%,12,적금
418,오투저축은행,정기적금,정액적립식,5.00%,5.00%,제한없음,단리,- 신규계약(1인1계좌) - 영업점 가입가능 - 1만원~30만원까지,영업점,"-1개월이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은 이율-1개월 초과: 보통예금 이율[코로나19관련대책 - 창구가입상품한 : 한시적으로 만기후 1개월간 해당 예금의 동일계약기간 신규약정금리 적용, 이후 보통예금이율]",중도해지이율-1개월 미만: 보통예금이율-1개월 이상~3개월 미만: 계약일의 계약기간별 약정이율의 50%-3개월 이상~12개월 미만: 계약일의 계약기간별 약정이율의 60%-12개월 이상: 계약일의 계약기간별 약정이율의 70%,12,적금
419,하나저축은행,정기적금,정액적립식,2.00%,5.00%,"개인(1인,1계좌에 한함_활동좌기준)",복리,당 저축은행 APP 월1회 이상 로그인 기록 횟수에 따라 차등적용+2.0% (7회~9회:0.5%/10회~11회:1.0%/ 12회이상:2.0%) *월 최대 로그인 기록은 1회로 제한 적용(ex.12월 3회 로그인→12월 실적 1회 인정) 당 저축은행 개인(신용)정보 수집·이용 제공동의(상품서비스 안내 등) 및 상품서비스 안내수단 전체 동의 시 1.0%,"영업점,인터넷,스마트폰",-1개월 이내 :가입 당시 약정금리-1개월 초과 : 현행 고시 보통예금 금리,1.6개월 유지시 중도해지 시점 적용된 기본금리+우대금리 이자를 지급하는 정기적금2. 가입금액 : 1만원이상~100만원이하3. 중도해지금리-1개월미만 : 보통예금 금리 -1개월이상~6개월 미만약정금리x(경과월수/계약월수)x60%(최저금리 : 약정금리 * 50%)-6개월 이상: 해지시점 기본금리+우대금리,12,적금
420,하나저축은행,정기적금,정액적립식,2.00%,5.00%,"개인(1인,1계좌에 한함_활동좌기준)",단리,당 저축은행 APP 월1회 이상 로그인 기록 횟수에 따라 차등적용+2.0% (7회~9회:0.5%/10회~11회:1.0%/ 12회이상:2.0%) *월 최대 로그인 기록은 1회로 제한 적용(ex.12월 3회 로그인→12월 실적 1회 인정) 당 저축은행 개인(신용)정보 수집·이용 제공동의(상품서비스 안내 등) 및 상품서비스 안내수단 전체 동의 시 1.0%,"영업점,인터넷,스마트폰",-1개월 이내 :가입 당시 약정금리-1개월 초과 : 현행 고시 보통예금 금리,1.6개월 유지시 중도해지 시점 적용된 기본금리+우대금리 이자를 지급하는 정기적금2. 가입금액 : 1만원이상~100만원이하3. 중도해지금리-1개월미만 : 보통예금 금리 -1개월이상~6개월 미만약정금리x(경과월수/계약월수)x60%(최저금리 : 약정금리 * 50%)-6개월 이상: 해지시점 기본금리+우대금리,12,적금
421,KB저축은행,KB착한누리적금,정액적립식,4.50%,5.00%,"기초생활수급자, 소년소녀가장, 한부모가족지원보호대상자, 새터민, 만65세이상 차상위계층, 장애인연금·장애수당·장애아동수당 대상자",복리,인터넷뱅킹/모바일뱅킹으로 가입시 우대이율 연0.5% 적용,"영업점,인터넷,스마트폰",- 1개월이내 : 신규가입일 당시 약정이율과 만기일 현재 고시이율 중 낮은 이율- 1개월초과 : 보통예금이율,-12개월 가입가능- 가입금액:1만원이상~30만원이하- 증빙서류제출후가입,12,적금
422,KB저축은행,KB착한누리적금,정액적립식,4.50%,5.00%,"기초생활수급자, 소년소녀가장, 한부모가족지원보호대상자, 새터민, 만65세이상 차상위계층, 장애인연금·장애수당·장애아동수당 대상자",단리,인터넷뱅킹/모바일뱅킹으로 가입시 우대이율 연0.5% 적용,"영업점,인터넷,스마트폰",- 1개월이내 : 신규가입일 당시 약정이율과 만기일 현재 고시이율 중 낮은 이율- 1개월초과 : 보통예금이율,-12개월 가입가능- 가입금액:1만원이상~30만원이하- 증빙서류제출후가입,12,적금
423,웰컴저축은행,정기적금,정액적립식,3.10%,4.80%,"사회적배려대상자 (기초생활수급자,소년소녀가장,북한이탈주민,차상위계층 중 본인부담 경감대상자, 한부모가족지원 보호대상자, 장애인연금, 장애수당, 장애아동수당 대상자)",단리,기본금리 3.1% + 우대금리 1.7% = 적용이율 4.8%,영업점,"*만기 후 1개월 이하 : 이 예금의 가입 당시 약정금리나 만기시점의 동일 상품, 동일 계약기간의 신규약정금리 중 낮은 금리를 적용 *만기 후 1개월 초과 : 연 0.1% ※ 만기시점의 동일 상품, 동일 계약기간이 없을 경우 가입 당시의 약정금리를 적용","중도해지금리 - 일반중도해지 : 1.6% , 특별중도해지 : 4.8%",12,적금
424,청주저축은행,펫팸정기적금_천안지점,정액적립식,4.70%,4.70%,반려동물을 키우는 지점방문고객(개인),단리,없음,영업점,1개월이내 : 만기시 동일사품 동일계약기간의 신규 약정금리1개월초과 : 보통예금이율,상품 문의 ☎ 041-522-9114,12,적금
425,CK저축은행,정기적금,정액적립식,4.60%,4.60%,제한없음,단리,없음,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,12,적금
426,CK저축은행,정기적금,정액적립식,4.60%,4.60%,제한없음,단리,없음,"인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,12,적금
427,동양저축은행,정기적금,정액적립식,4.50%,4.50%,제한없음,복리,없음,영업점,1개월내: 가입 당시 이율과 만기시점 해당 계약기간 이율과 비교하여 낮은 금리적용1개월후: 보통예금 금리와 동일,없음,12,적금
428,동양저축은행,정기적금,정액적립식,4.50%,4.50%,제한없음,단리,없음,영업점,1개월내: 가입 당시 이율과 만기시점 해당 계약기간 이율과 비교하여 낮은 금리적용1개월후: 보통예금 금리와 동일,없음,12,적금
429,동양저축은행,"정기적금(비대면,인터넷뱅킹,스마트폰뱅킹)",정액적립식,4.50%,4.50%,제한없음,복리,없음,"인터넷,스마트폰",1개월내: 가입 당시 이율과 만기시점 해당 계약기간 이율과 비교하여 낮은 금리적용1개월후: 보통예금 금리와 동일,없음,12,적금
430,동양저축은행,"정기적금(비대면,인터넷뱅킹,스마트폰뱅킹)",정액적립식,4.50%,4.50%,제한없음,단리,없음,"인터넷,스마트폰",1개월내: 가입 당시 이율과 만기시점 해당 계약기간 이율과 비교하여 낮은 금리적용1개월후: 보통예금 금리와 동일,없음,12,적금
431,웰컴저축은행,정기적금,자유적립식,1.50%,4.50%,제한없음,단리,"①카드 잔돈적립 6회 이상 연 1.0%p ②주간 잔돈적립 6회 이상 연 1.0%p ③타행 잔돈적립 6회 이상 연 1.0%p ※잔돈적립서비스를 통한 잔돈적립을 의미하며, 동일월 수회 이용시에도 1회납입으로 인정 ※잔돈적립서비스 : 사전에 지정한 본인명의 입출금계좌의 잔돈을 적금으로 적립하는 서비스",스마트폰,"*만기 후 1개월 이하 : 이 예금의 가입 당시 약정금리나 만기시점의 동일 상품, 동일 계약기간의 신규약정금리 중 낮은 금리를 적용*만기 후 1개월 초과 : 연 0.1% ※ 만기시점의 동일 상품, 동일 계약기간이 없을 경우 가입 당시의 약정금리를 적용",타행 잔돈적립을 위한 연결계좌는 당행 오픈뱅킹에 등록된 타행 입출금 계좌 최대 3개 설정 가능합니다. 1회차 납입금액은 제한이 없으나 2회차 이후 납입금액은 매월 초일부터 말일까지의 입금합계액이 가입한도의 10%를 초과할 수 없습니다. (월 최대 불입액 : 20만원),12,적금
432,인천저축은행,생일축하플러스정기적금,정액적립식,4.50%,4.50%,누구나가입가능,단리,창구전용상품,영업점,*만기후 1개월이내 : 최초약정이율*만기 1개월이후 : 연0.1%,적금가입금액 1만원이상,12,적금
433,조흥저축은행,정기적금,정액적립식,4.50%,4.50%,제한없음,단리,-,영업점,만기후1개월이내 약정금리와 현행고시금리중 낮은 이율1개월초과시 보통예금 이자율 적용,제한없음,12,적금
434,청주저축은행,정기적금,정액적립식,4.50%,4.50%,제한없음,단리,없음,영업점,1개월이내 : 만기시 동일사품 동일계약기간의 신규 약정금리1개월초과 : 보통예금이율,상품 문의 ☎ 043-256-9114,12,적금
435,청주저축은행,정기적금(온라인),정액적립식,4.50%,4.50%,제한없음,단리,없음,"인터넷,스마트폰",1개월이내 : 만기시 동일사품 동일계약기간의 신규 약정금리1개월초과 : 보통예금이율,상품 문의 ☎ 043-256-9114,12,적금
436,동원제일저축은행,정기적금,정액적립식,4.40%,4.40%,제한없음,단리,없음,영업점,-만기 후 1개월 까지: 최종약정이율과 현재이율 중 낮은금리 적용 -만기 후 1개월 초과: 보통예금 금리 적용,없음,12,적금
437,동원제일저축은행,정기적금,정액적립식,4.40%,4.40%,제한없음,복리,없음,영업점,-만기 후 1개월 까지: 최종약정이율과 현재이율 중 낮은금리 적용 -만기 후 1개월 초과: 보통예금 금리 적용,없음,12,적금
438,동원제일저축은행,정기적금(비대면),정액적립식,4.40%,4.40%,제한없음,복리,없음,"인터넷,스마트폰",-만기 후 1개월 까지: 최종약정이율과 현재이율 중 낮은금리 적용 -만기 후 1개월 초과: 보통예금 금리 적용,월 최대 불입금: 100만원,12,적금
439,동원제일저축은행,정기적금(비대면),정액적립식,4.40%,4.40%,제한없음,단리,없음,"인터넷,스마트폰",-만기 후 1개월 까지: 최종약정이율과 현재이율 중 낮은금리 적용 -만기 후 1개월 초과: 보통예금 금리 적용,월 최대 불입금: 100만원,12,적금
440,CK저축은행,정기적금,자유적립식,4.40%,4.40%,제한없음,단리,없음,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,12,적금
441,CK저축은행,정기적금,정액적립식,4.40%,4.40%,제한없음,단리,없음,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,12,적금
442,CK저축은행,정기적금,자유적립식,4.40%,4.40%,제한없음,복리,없음,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,12,적금
443,CK저축은행,정기적금,정액적립식,4.40%,4.40%,제한없음,복리,없음,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,12,적금
444,CK저축은행,"정기적금(인터넷,모바일,비대면)",정액적립식,4.40%,4.40%,제한없음,단리,없음,"인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,12,적금
445,CK저축은행,"정기적금(인터넷,모바일,비대면)",자유적립식,4.40%,4.40%,제한없음,단리,없음,"인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,12,적금
446,CK저축은행,"정기적금(인터넷,모바일,비대면)",정액적립식,4.40%,4.40%,제한없음,복리,없음,"인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,12,적금
